GEOID20,NEIGH1,TOTPOP,HU,HH,GQ
18019050706,River Ridge,5685,2165,2069,2
18019050505,Clarksville West,1809,806,766,0
18019050705,Utica-Port of Indiana,2030,950,887,33
18043071004,Greenville-Galena North,4842,1819,1752,9
18043070700,West Street-Middle State Street,2427,1093,997,30
18043070301,Slate Run-Old Ford,2995,1536,1429,0
18043070400,Midtown-East Spring,2828,1464,1273,91
18043071003,Floyds Knobs North,7692,2920,2810,0
18043070302,Uptown-Silver Grove,3258,1599,1497,0
18043070801,State Street North-Binford Park,3389,1609,1492,117
18043070600,Silver Hills-New Albany West,2401,1066,996,91
18043070500,New Albany Downtown-West End,3061,1578,1301,304
18043070200,East End-Bicknell Park-Loop Island,1770,864,725,0
18043070802,Benn Heights-Indian Heights,4770,2133,2029,215
18043070901,Klerner Lane-McDonald Lane,6011,2700,2572,49
18061060500,Lanesville-New Middletown,5864,2437,2307,0
18043070902,Fairmont-Silver Street Park,1723,774,716,104
18043071101,Georgetown Downtown,6250,2398,2300,0
18043071200,South Floyd-Franklin Township,2038,848,801,0
18043071007,New Albany Northwest-IU Southeast,5195,2301,2168,340
18043071103,Floyds Knobs South,4632,1742,1663,7
18043071006,Charlestown Crossing-Carriage House,4548,1960,1825,142
18061060100,Palmyra-Milltown,6010,2579,2387,3
18061060300,West Central Harrison,5731,2278,2167,176
18061060201,Crandall,3574,1409,1339,13
18061060202,New Salisbury,4186,1769,1636,0
18061060602,Southwest Harrison,2769,1268,1112,25
18061060401,Corydon,5456,2413,2240,243
18061060402,Harrison Township Southeast,2282,912,860,8
18061060601,Southeast Harrison,3782,1621,1493,2
18019050305,Arctic Springs-Ewing Lane,2716,1246,1175,16
18019050504,Broadway-Veterans Parkway,3068,1398,1228,313
18019050303,Jeffersonville Midtown West,2652,1339,1196,12
18019051000,New Washington,4758,1994,1820,0
18019050200,Claysburg-Quartermaster,3404,1562,1386,463
18019050902,Charlestown East,5206,2157,1990,0
18019050100,Jeffersonville Downtown-Big Four Station,1390,921,734,154
18019050801,Borden-West Clark,7596,2964,2832,2
18019050404,Beechwood Manor-Lincoln Heights,4129,1800,1722,4
18019050605,Golfview Estates-Hidden Lakes-Meadows,5873,2594,2518,19
18019050703,Sellersburg South,6697,2732,2570,102
18019050904,Charlestown West,7013,2640,2508,182
18019050803,Memphis-Perry Crossing,6069,2370,2284,1
18019050804,Henryville,4093,1636,1554,8
18019050704,Sellersburg North,7062,2809,2698,66
18019050903,Charlestown Central,2972,1259,1173,0
18019050606,Bonenberger-Country Club Estates-Foxboro,3980,1810,1739,0
18019050403,Gateway Crossing-Little League Park,2926,1362,1190,153
18043071104,Georgetown East-Edwardsville,5083,1949,1892,83
18043071005,Chapel Creek-Cobblers Crossing,5571,1991,1966,153
18019050304,Jeffersonville Midtown Central,5918,2771,2516,15
18019050306,Port Fulton-Franklin Commons,2169,1139,1029,12
18019050401,Clarksville South-Old Clarksville,2763,1385,1247,1
18019050503,Blackiston View-Parkwood,5338,2427,2284,13
18019050603,Jeffersonville Midtown East-Vissing Park,7357,3201,3049,66
18019050604,Oak Park,6420,2732,2614,18
21211040302,Shelbyville Downtown,3314,1375,1266,79
21185030301,La Grange Northwest,4030,1501,1427,160
21111010313,Norton Commons-Wolf Pen Branch,6246,2730,2505,0
21111010406,Middletown North-Anchorage-Berrytown,6226,2721,2469,43
21111010319,Worthington,4453,2041,1933,0
21111010315,Beckley Station-Old Henry,3957,1918,1694,0
21111010316,Beckley Station-Old Henry,4978,1922,1858,0
21111011604,Seatonville-Ashville,2639,1041,998,0
21111011710,McNeely Lake West,2891,1220,1170,0
21211040403,Shelbyville East,4394,1712,1662,97
21185030200,Kentucky State Reformatory,4681,537,510,3410
21185030100,North Oldham-Westport,2426,1054,945,29
21185030801,River Bluff-West Oldham,4581,1542,1440,0
21185030501,Crestwood South-Pewee Valley South,4493,1741,1659,115
21185030601,Crestwood West-Orchard Grass Hills,6762,2345,2249,12
21185030502,South Central Oldham,5048,1738,1710,0
21185030802,Goshen,4832,1737,1657,0
21185030602,Crestwood East-Park Lake,5509,2096,2039,7
21111011708,Cedar Creek,6239,2480,2377,0
21111011518,Chenoweth Run-Old Heady,2292,785,777,0
21111010702,St. Regis Park-Hurstbourne Acres,6097,2910,2761,11
21111009900,St. Matthews North-Beechwood Village,2793,1463,1389,0
21211040102,Bagdad-Northeast Shelby,4512,1831,1709,0
21211040501,Finchville-Southwest Shelby,2496,1000,949,0
21211040402,Shelbyville South-South Central Shelby,4342,1809,1695,9
21211040101,Waddy-Southeast Shelby,3715,1504,1391,0
21111010706,Douglass Hills,3090,1549,1358,0
21111011301,Watterson Park-Poplar Hills,2425,1100,1024,0
21111011403,Edgewood-Lynnview,1944,884,838,0
21111011404,Watterson Park-Poplar Hills,3967,1775,1613,0
21111011506,Fern Creek Northeast-Fairground Road,5689,2244,2139,0
21111010102,Ormsby Village-Shelbyhurst,4172,1791,1729,0
21111010309,Springhurst,4703,2324,1975,34
21111010403,Middletown North-Anchorage-Berrytown,4532,2149,2044,42
21029020602,Hebron Estates-Fox Chase-Hillview South,1289,525,512,0
21029020101,Mount Washington Central,4388,1807,1741,78
21111011405,Newburg West-Indian Trail,5945,2446,2309,106
21111011406,Newburg South-Fern Valley,5241,2319,2204,17
21111010800,Hikes Point,3847,1701,1626,352
21111010901,Bon Air,5021,2377,2251,71
21111010902,Avondale-Melbourne Heights,4069,1971,1855,0
21111011003,Buechel,6449,2796,2647,62
21111010500,St. Matthews Southwest-Broad Fields,3893,1814,1719,12
21111010701,Oxmoor-Hurstbourne,5282,2680,2399,0
21111011202,Bashford Manor,4193,1959,1786,77
21111011201,Bashford Manor,1515,931,838,0
21111011117,J-Town-Stony Brook North,3491,1753,1533,98
21111011115,J-Town-Forest Hills,2823,1300,1259,0
21111011116,J-Town East-Blankenbaker-Tucker Station,3724,1686,1598,98
21111011008,Klondike,3182,1783,1658,0
21111005902,Butchertown-Phoenix Hill,2875,1581,1384,473
21111011006,West Buechel,2518,1229,1133,6
21111011605,English Station-Eastwood,7534,3179,3013,256
21111010407,Middletown South,4473,2041,1942,0
21111010708,J-Town North,2692,1470,1333,0
21111011606,English Station-Eastwood,1797,685,649,0
21111011009,Klondike,3279,1351,1307,136
21111011007,Appliance Park,3639,1385,1288,140
21111011521,Highview Northwest-Fern Valley-Spring Mill,4349,1867,1796,0
21111010408,Middletown South,3486,1724,1581,0
21111010707,J-Town North,3688,1574,1496,0
21111011901,Minor Lane,1154,385,358,0
21111010008,Goose Creek,4301,1990,1896,0
21111012703,Riverport-Greenwood,5855,2442,2305,0
21111000600,Russell,1671,836,690,0
21111012203,Waverly Hills,6316,2625,2504,79
21111005000,SoBro,1754,1249,943,288
21111010005,Lyndon North-Keeneland,4367,2057,1966,0
21111011005,Buechel,2820,1336,1285,0
21111012001,Fairdale South-Hollyvilla,3378,1490,1403,0
21111012104,Southwest Dixie-Valley Village,4072,1669,1483,0
21111012204,St. Andrews,4707,2138,1936,0
21111011522,Highview Northwest-Fern Valley-Spring Mill,2747,1058,1031,0
21111011909,Okolona Southwest-South Park,4119,1738,1651,0
21111012005,Fairdale North,3676,1694,1476,0
21111010321,Flat Rock-Long Run,5965,2178,2110,0
21111010324,Worthington Hills-Coldstream,5141,2135,1993,0
21111011118,J-Town-Stony Brook Central,3893,1593,1547,0
21111010322,Flat Rock-Long Run,3167,1133,1069,0
21111007101,Wilder Park-Fairgrounds,149,98,77,6
21111010323,Worthington Hills-Coldstream,3022,1340,1290,0
21111012004,Fairdale North,2417,892,837,0
21111012109,Valley Station-Prairie Village,5723,2251,2168,0
21111007700,Crescent Hill,2335,1047,854,387
21111008201,Cherokee Triangle,1823,1210,1070,15
21111009402,Camp Taylor-Zoo,3312,1643,1557,0
21111009401,Audobon Park-Prestonia,3027,1381,1302,8
21111007102,Meriwether-Saint Joseph,5182,3105,2746,146
21111012606,Shively North-Farnsley,3818,1623,1545,0
21111012412,PRP Northwest-Rockford,3247,1322,1263,0
21111012413,PRP West Central,3176,1286,1215,0
21111008202,Cherokee Triangle,2061,1393,1235,22
21111012108,Valley Station Southwest-Bethany,2106,939,875,0
21111000202,Portland,1141,485,390,183
21111000201,Portland,1392,674,543,8
21111002402,Russell,2567,1286,1016,169
21111003502,Algonquin-Park Hill,1727,788,707,62
21111003501,University,3104,675,553,1846
21111012604,St. Dennis,5560,2310,2213,0
21111000300,Portland,2437,1150,984,0
21111000400,Shawnee,4360,1986,1792,4
21111000700,Shawnee,2414,1256,1043,11
21111000800,Shawnee,2019,904,762,0
21111000900,Shawnee,2003,993,809,0
21111009001,Kenwood Hill,3700,1491,1388,0
21111012605,Shively North-Farnsley,3277,1501,1422,102
21111002401,Russell,2042,1252,953,24
21111009002,Kenwood Hill,3571,1549,1440,12
21111011908,Okolona Southwest-South Park,3670,1475,1416,0
21111005901,Butchertown-Phoenix Hill,2361,1556,1343,521
21111001100,Chickasaw,3216,1631,1367,0
21111001200,Chickasaw,2769,1348,1143,0
21111001400,Park DuValle,2669,1124,1058,7
21111001500,Park DuValle,2988,1513,1245,0
21111001600,Algonquin-Park Hill,2711,1202,986,62
21111001800,California,1201,629,470,12
21111002100,Portland,2193,1115,871,16
21111002300,Portland,2086,1049,822,12
21111002700,California,2723,1615,1151,101
21111002800,Algonquin-Park Hill,1894,889,730,137
21111003000,Russell,1782,731,487,586
21111003600,Taylor Berry,4771,2356,1918,0
21111003800,Oakdale-Wyandotte,3665,1563,1387,0
21111003900,Taylor Berry,3786,1849,1472,0
21111004000,Oakdale-Wyandotte,1737,817,715,0
21111011711,McNeely Lake West,6490,2430,2359,0
21111010314,Chamberlain-Ford,6474,2403,2294,79
21111009105,Southland Park,2805,1289,1218,0
21111009106,Auburndale East,5208,1981,1922,0
21111011113,Six Mile-Breckenridge,3013,1488,1430,0
21111011709,McNeely Lake East-Heritage Creek,6475,2475,2381,0
21111011712,Commerce Crossings-Mud Lane,4795,2160,2061,0
21111010317,Green Spring-Barbour Lane,4938,1885,1846,0
21111010318,Barbourmeade-Brownsboro Farm,5654,2770,2503,88
21111011112,J-Town-Stony Brook North,3477,1579,1527,0
21111010320,Fincastle,3855,1619,1544,0
21111010601,St. Matthews South-Browns Lane,2976,1721,1586,94
21111011713,Commerce Crossings-Mud Lane,2744,1201,1093,0
21185030701,West Central Oldham,2775,944,915,0
21185030302,La Grange Northeast,4986,1971,1881,0
21111010104,Lyndon South-New La Grange,2813,1595,1465,0
21111011114,Six Mile-Breckenridge,5341,2221,2170,0
21111011111,Six Mile-Houston Acres,5328,2458,2372,46
21111011517,J-Town-Vettiner,5560,2257,2205,0
21111011520,Chenoweth Run-Old Heady,5543,2098,2038,0
21111011519,Fern Creek Southeast-Billtown,6168,2292,2216,69
21111011514,Highview Southeast-Beulah Church,3720,1690,1624,0
21111011516,Fern Creek Southwest-Beulah Church,4064,1902,1856,0
21111011513,Highview Southwest-Smyrna,4434,1861,1781,0
21111011515,Fern Creek Southwest-Beulah Church,4849,1988,1935,0
21111010602,St. Matthews Southeast-Mall,3366,2118,1772,89
21111010103,Lyndon South-New La Grange,3797,2068,1944,0
21111010405,Griffytown,4467,2299,2122,73
21111012410,PRP West Central,4194,1863,1796,0
21111008700,Cherokee Seneca-Cherokee Gardens-Lexington Road,4188,1680,1603,315
21111005100,Old Louisville-Limerick,3107,2387,2078,132
21111011508,Highview Northeast-Hollow Creek,6773,2721,2617,0
21111007501,Indian Hills-Mockingbird Valley,6750,2935,2786,0
21111012702,Riverside Gardens-Lake Dreamland,1936,829,743,0
21111012003,Jefferson Forest,3726,1474,1383,0
21111006300,Germantown-Paristown Pointe,1663,1013,893,26
21111012701,Rubbertown,4284,2059,1845,0
21111007900,Crescent Hill,1788,1000,917,0
21111001700,California,2234,993,798,21
21111011302,Newburg East-Petersburg,7086,2715,2473,0
21111007502,Glenview-Harrods Creek-Prospect,5602,2430,2221,169
21111012503,PRP Northwest-Rockford,4157,1843,1729,0
21111010007,Graymoor-Devondale,4128,1684,1638,108
21111012107,Valley Station South-Orell,5271,2176,2006,0
21111010006,Rolling Hills-Meadow Vale-Westwood,3668,1700,1612,20
21111012205,Auburndale West,2053,733,706,0
21111012206,Auburndale West,4919,2001,1918,66
21111009300,Poplar Level-Audobon,4989,2334,2224,351
21111009600,Hayfield Dundee-Gardiner Lane,4735,2210,2095,8
21111009700,Hawthorne,2751,1347,1265,114
21111009800,St. Matthews Northwest-Chenoweth,2622,1420,1324,0
21111007000,Schnitzelburg,2096,1035,1000,0
21111007400,Clifton-Irish Hill,2436,1605,1339,71
21111007601,Crescent Hill,1939,1111,1036,49
21111007602,Clifton Heights-Brownsboro Zorn,3739,2170,2023,105
21111007603,Clifton Heights-Brownsboro Zorn,2530,1462,1330,0
21111007800,Crescent Hill,3157,1638,1545,1
21111008100,Clifton-Irish Hill,3684,2503,2169,116
21111008300,Tyler Park,2482,1383,1261,0
21111010312,Glenview-Harrods Creek-Prospect,3064,1399,1328,0
21111011509,Fern Creek Northwest-Watterson Trail,4204,1950,1855,17
21111011706,Highview Southwest-Smyrna,3930,1578,1536,125
21111011707,McNeely Lake North-Preston Crossing,6383,2448,2366,0
21111011800,Edgewood-Lynnview,2348,1118,1047,0
21111011904,Okolona North,2653,1113,1080,0
21111011906,Okolona North,3992,2028,1698,0
21111011907,Okolona Southeast-Miles Lane,4505,1845,1802,93
21111012103,Valley Station Southwest-Bethany,3815,1737,1590,0
21111012105,Valley Station Northeast-Stonestreet,5093,2234,2080,133
21111012302,St. Andrews,5380,2401,2205,84
21111012406,PRP Southeast,6034,2513,2393,0
21111012407,PRP Southwest-Black Pond,4992,1988,1919,0
21111012408,Valley Station Northwest-Johnsontown,2316,1007,950,0
21111012409,Valley Station Northwest-Johnsontown,3268,1381,1287,0
21111012501,Shively South-Watterson,2588,1266,1177,90
21111012502,PRP Northeast-Hunters Trace,5224,2528,2298,0
21111012603,Shively South-Watterson,2899,1238,1159,0
21111012801,Hallmark,3185,1460,1332,0
21111012802,Shively Northeast-7th Street Road,2646,1177,1079,0
21111013100,Strathmoor Village-Kingsley,1183,519,506,0
21111001000,Parkland,2481,1223,961,18
21111012301,Cloverleaf,3716,1433,1382,0
21029021103,Shepherdsville Southeast,1384,521,510,0
21029021104,Shepherdsville Southwest,4625,1740,1679,0
21029020501,Hillview North,3197,1276,1237,0
21029020401,Hebron Estates-Fox Chase-Hillview South,1693,743,727,0
21029020502,Hillview North,2213,854,827,0
21029020704,Shepherdsville Central,3639,1481,1405,0
21029020300,Mount Washington West,5661,2091,2040,0
21029021200,Lebanon Junction-South Bullitt,4786,2010,1879,0
21029020900,Northwest Bullitt,2792,1147,1066,0
21029020800,Brooks-Hillview West,5005,2147,1947,0
21211040201,Northwest Shelby,3281,1242,1176,0
21211040503,Simpsonville,3696,1445,1375,0
21211040202,Shelbyville North,5168,2094,1989,193
21211040504,East Shelby,3405,1024,989,702
21211040404,Shelbyville Central South,3718,1387,1328,0
21029020402,Hillview East-Zoneton Road,5206,2018,1951,0
21029020703,Shepherdsville North,4405,1823,1756,0
21111011109,Fern Creek Northwest-Watterson Trail,2252,918,864,100
21111011110,J-Town-Stony Brook South,6570,2736,2672,0
21111003700,South Louisville,2187,1176,965,112
21185030401,La Grange Southwest,7137,2488,2434,116
21185030402,La Grange Southeast-East Oldham,3337,1137,1101,62
21211040301,Shelbyville Downtown West,6024,2378,2255,83
21029020103,Mount Washington Northeast,3310,1274,1240,0
21029020202,Mount Washington Southeast,4769,1883,1827,26
21029020102,Mount Washington North,3865,1641,1564,8
21029021102,East Central Bullitt,4442,1677,1616,0
21029020702,Shepherdsville Central,2546,1081,1042,35
21029020201,Mount Washington Southwest,7459,2727,2676,0
21111004100,Wilder Park-Fairgrounds,2412,1322,1161,10
21111004301,Jacobs,4345,2018,1764,0
21111004302,Hazelwood,1247,552,471,24
21111004400,Beechmont,4368,2131,1946,0
21111004500,Iroquois,3329,1437,1306,52
21111004600,Beechmont,3840,1697,1598,0
21111004900,Central Business District,3941,2337,1791,1412
21185030704,West Central Oldham,2962,910,889,0
21111980100,Airport,0,0,0,0
21029980100,Fort Knox,0,0,0,0
21185030703,Buckner,4048,1323,1277,23
21111005200,Old Louisville-Limerick,3358,2226,1989,0
21111005300,University,3541,757,659,2270
21111005600,Southside,3524,1659,1363,7
21111006200,Smoketown,2422,1076,891,358
21111006400,Original Highlands,1801,1215,1073,45
21111006500,Shelby Park,2763,1412,1185,224
21111006600,Old Louisville-Limerick,1956,1367,1121,0
21111006800,Schnitzelburg,2143,1272,1172,20
21111006900,Germantown-Paristown Pointe,2231,1244,1123,204
21111010001,Windy Hills-Woodlawn Park,4717,2236,2101,41
21111010004,Robsion Park,4472,2363,2172,222
21111011603,Seatonville-Ashville,5257,2206,2112,0
21029020601,Pioneer Village-Hillview Central,5541,2237,2167,0
21111008400,Deer Park,2891,1484,1368,133
21111008500,Bonnycastle,1927,1159,1032,0
21111008800,Highlands Douglass-Seneca Gardens,3809,1933,1801,81
21111008900,Belknap,4691,1757,1674,959
21111009103,Southland Park,1646,620,597,0
